Fecha ;Apertura;Cierre;Maximo;Minimo;Volumen
14/11/2025;3.3;3.3;3.3;3.3;22284
13/11/2025;3.3;3.3;3.3;3.27;115806
12/11/2025;3.3;3.3;3.3;3.29;19117
11/11/2025;3.3;3.3;3.3;3.27;24725
10/11/2025;3.26;3.27;3.28;3.26;70854
7/11/2025;3.26;3.26;3.26;3.25;119600
6/11/2025;3.24;3.27;3.27;3.24;151209
5/11/2025;3.27;3.24;3.27;3.24;40477
4/11/2025;3.3;3.27;3.3;3.27;291090
3/11/2025;3.29;3.27;3.29;3.27;50970
31/10/2025;3.32;3.29;3.32;3.27;2165220
30/10/2025;3.32;3.32;3.34;3.32;202584
29/10/2025;3.33;3.32;3.33;3.32;92154
28/10/2025;3.31;3.31;3.32;3.31;128028
27/10/2025;3.31;3.32;3.32;3.3;116774
24/10/2025;3.32;3.3;3.32;3.3;52181
23/10/2025;3.3;3.32;3.32;3.3;48295
22/10/2025;3.32;3.3;3.33;3.3;86951
21/10/2025;3.35;3.3;3.35;3.3;146999
20/10/2025;3.34;3.35;3.35;3.31;89215
17/10/2025;3.35;3.34;3.35;3.34;115937
16/10/2025;3.37;3.35;3.37;3.34;171915
15/10/2025;3.37;3.37;3.37;3.35;114122
14/10/2025;3.37;3.37;3.37;3.35;123180
13/10/2025;3.35;3.39;3.39;3.35;679310
10/10/2025;3.31;3.32;3.32;3.31;23560
9/10/2025;3.35;3.31;3.35;3.28;183193
7/10/2025;3.33;3.33;3.33;3.32;1826453
6/10/2025;3.33;3.33;3.34;3.3;268888
3/10/2025;3.34;3.34;3.34;3.33;78601
2/10/2025;3.34;3.33;3.34;3.33;214345
1/10/2025;3.31;3.33;3.33;3.3;92392
30/09/2025;3.34;3.31;3.35;3.31;422752
29/09/2025;3.35;3.35;3.35;3.35;31226
26/09/2025;3.35;3.32;3.35;3.32;156104
25/09/2025;3.36;3.35;3.37;3.35;42664
24/09/2025;3.37;3.37;3.38;3.37;134071
23/09/2025;3.37;3.36;3.37;3.36;145613
22/09/2025;3.37;3.37;3.37;3.37;108141
19/09/2025;3.36;3.37;3.37;3.33;844423
18/09/2025;3.35;3.34;3.36;3.34;73093
17/09/2025;3.4;3.36;3.4;3.36;51683
16/09/2025;3.35;3.36;3.37;3.35;73234
15/09/2025;3.34;3.34;3.34;3.33;40823
12/09/2025;3.35;3.37;3.4;3.34;113260
11/09/2025;3.46;3.45;3.47;3.45;297741
10/09/2025;3.47;3.45;3.47;3.43;277898
9/09/2025;3.47;3.46;3.48;3.46;132493
8/09/2025;3.48;3.48;3.48;3.48;41535
5/09/2025;3.49;3.47;3.49;3.47;103053
4/09/2025;3.48;3.48;3.48;3.48;132396
3/09/2025;3.5;3.48;3.5;3.48;72987
2/09/2025;3.49;3.47;3.5;3.47;179862
1/09/2025;3.47;3.49;3.49;3.46;72442
29/08/2025;3.43;3.43;3.46;3.43;571221
28/08/2025;3.36;3.43;3.44;3.36;217134
27/08/2025;3.34;3.34;3.35;3.33;212549
26/08/2025;3.33;3.33;3.35;3.33;182504
25/08/2025;3.34;3.34;3.34;3.33;627954
22/08/2025;3.34;3.34;3.35;3.34;1581814
21/08/2025;3.37;3.35;3.37;3.34;1528426
20/08/2025;3.4;3.37;3.4;3.37;605321
19/08/2025;3.4;3.37;3.4;3.37;237502
18/08/2025;3.38;3.37;3.38;3.37;65839
15/08/2025;3.4;3.38;3.4;3.38;23880
14/08/2025;3.35;3.4;3.46;3.35;230194
12/08/2025;3.39;3.37;3.39;3.37;121681
11/08/2025;3.35;3.37;3.37;3.33;75829
8/08/2025;3.39;3.37;3.4;3.37;98735
7/08/2025;3.44;3.37;3.47;3.37;1344472
5/08/2025;3.45;3.43;3.45;3.43;112764
4/08/2025;3.47;3.45;3.47;3.44;215935
1/08/2025;3.47;3.45;3.47;3.45;26078
31/07/2025;3.5;3.47;3.5;3.47;45237
30/07/2025;3.49;3.5;3.5;3.49;32442
25/07/2025;3.5;3.49;3.5;3.49;215277
